#i	j	k
52	35	32
52	36	31
52	36	32
52	36	33
53	34	34
53	35	31
53	35	32
53	35	33
53	35	34
53	36	30
53	36	31
53	36	32
53	36	33
53	36	34
53	37	30
53	37	31
53	37	32
53	37	33
53	37	34
54	34	28
54	34	29
54	34	30
54	34	31
54	34	32
54	34	33
54	34	34
54	34	35
54	35	28
54	35	29
54	35	30
54	35	31
54	35	32
54	35	33
54	35	34
54	35	35
54	36	28
54	36	29
54	36	30
54	36	31
54	36	32
54	36	33
54	36	34
54	36	35
54	36	36
54	37	29
54	37	30
54	37	31
54	37	32
54	37	33
54	37	34
54	37	35
54	37	36
54	38	30
54	38	31
54	38	32
54	38	33
54	38	34
54	38	35
54	39	35
55	33	34
55	33	35
55	33	36
55	34	26
55	34	27
55	34	28
55	34	29
55	34	30
55	34	31
55	34	32
55	34	33
55	34	34
55	34	35
55	34	36
55	35	27
55	35	28
55	35	29
55	35	30
55	35	31
55	35	32
55	35	33
55	35	34
55	35	35
55	35	36
55	36	26
55	36	27
55	36	28
55	36	29
55	36	30
55	36	31
55	36	32
55	36	33
55	36	34
55	36	35
55	36	36
55	37	26
55	37	27
55	37	28
55	37	29
55	37	30
55	37	31
55	37	32
55	37	33
55	37	34
55	37	35
55	37	36
55	38	27
55	38	28
55	38	29
55	38	30
55	38	31
55	38	32
55	38	33
55	38	34
55	38	35
55	38	36
55	39	30
55	39	31
55	39	34
55	39	35
55	39	36
55	40	33
56	34	26
56	34	27
56	34	28
56	34	29
56	34	30
56	34	31
56	34	32
56	34	33
56	34	34
56	34	35
56	35	26
56	35	27
56	35	28
56	35	29
56	35	30
56	35	31
56	35	32
56	35	33
56	35	34
56	35	35
56	36	26
56	36	27
56	36	28
56	36	29
56	36	30
56	36	31
56	36	32
56	36	33
56	36	34
56	36	35
56	37	26
56	37	27
56	37	28
56	37	29
56	37	30
56	37	31
56	37	32
56	37	33
56	37	34
56	37	35
56	38	26
56	38	27
56	38	28
56	38	29
56	38	30
56	38	31
56	38	32
56	38	33
56	38	34
56	38	35
56	39	27
56	39	28
56	39	29
56	39	30
56	39	31
56	39	32
56	39	33
56	39	34
56	39	35
56	40	28
56	40	29
56	40	30
56	40	35
56	41	29
56	41	30
56	41	33
57	35	27
57	35	28
57	35	29
57	35	30
57	35	31
57	35	32
57	35	33
57	35	34
57	36	27
57	36	28
57	36	29
57	36	30
57	36	31
57	36	32
57	36	33
57	36	34
57	37	27
57	37	28
57	37	29
57	37	30
57	37	31
57	37	32
57	37	33
57	37	34
57	38	28
57	38	29
57	38	30
57	38	31
57	38	32
57	38	33
57	38	34
57	39	27
57	39	28
57	39	29
57	39	30
57	39	31
57	39	32
57	39	33
57	39	34
57	40	29
57	40	30
57	40	31
57	40	32
57	40	34
57	40	35
58	36	29
58	36	30
58	36	31
58	36	32
58	36	33
58	37	29
58	37	30
58	37	31
58	37	32
58	37	33
58	38	28
58	38	29
58	38	30
58	38	31
58	38	32
58	38	33
58	39	29
58	39	30
58	39	31
58	39	32
58	39	33
58	39	34
58	40	31
58	40	32
58	40	33
58	40	34
58	40	35
58	41	33
59	38	32
59	38	33
59	39	30
59	39	31
59	39	32
59	39	33
59	39	34
59	40	32
59	40	33
59	40	34
59	40	35
60	39	31
60	39	32
60	39	33
60	39	34
