#i	j	k
36	39	9
36	39	10
36	40	9
36	40	10
36	40	11
36	41	9
36	41	10
36	41	11
36	42	9
36	42	10
36	43	9
36	43	10
37	37	8
37	38	8
37	38	9
37	38	10
37	38	11
37	39	8
37	39	9
37	39	10
37	39	11
37	39	12
37	40	8
37	40	9
37	40	10
37	40	11
37	40	12
37	41	8
37	41	9
37	41	10
37	41	11
37	41	12
37	42	8
37	42	9
37	42	10
37	42	11
37	42	12
37	43	8
37	43	9
37	43	10
37	43	11
37	43	12
37	44	8
37	44	9
37	44	10
37	44	11
37	45	8
37	45	9
37	45	10
37	45	11
37	46	9
37	46	10
37	46	11
37	47	10
37	47	11
37	48	10
38	37	7
38	37	8
38	37	9
38	37	10
38	38	7
38	38	8
38	38	9
38	38	10
38	38	11
38	38	12
38	39	7
38	39	8
38	39	9
38	39	10
38	39	11
38	39	12
38	40	7
38	40	8
38	40	9
38	40	10
38	40	11
38	40	12
38	40	13
38	41	7
38	41	8
38	41	9
38	41	10
38	41	11
38	41	12
38	41	13
38	42	7
38	42	8
38	42	9
38	42	10
38	42	11
38	42	12
38	42	13
38	43	7
38	43	8
38	43	9
38	43	10
38	43	11
38	43	12
38	43	13
38	44	7
38	44	8
38	44	9
38	44	10
38	44	11
38	44	12
38	44	13
38	45	7
38	45	8
38	45	9
38	45	10
38	45	11
38	45	12
38	46	8
38	46	9
38	46	10
38	46	11
38	46	12
38	47	8
38	47	9
38	47	10
38	47	11
38	47	12
38	48	9
38	48	10
38	48	11
39	37	7
39	37	8
39	37	9
39	37	10
39	37	11
39	38	7
39	38	8
39	38	9
39	38	10
39	38	11
39	38	12
39	39	7
39	39	8
39	39	9
39	39	10
39	39	11
39	39	12
39	39	13
39	40	7
39	40	8
39	40	9
39	40	10
39	40	11
39	40	12
39	40	13
39	41	7
39	41	8
39	41	9
39	41	10
39	41	11
39	41	12
39	41	13
39	41	14
39	42	7
39	42	8
39	42	9
39	42	10
39	42	11
39	42	12
39	42	13
39	42	14
39	43	6
39	43	7
39	43	8
39	43	9
39	43	10
39	43	11
39	43	12
39	43	13
39	43	14
39	44	6
39	44	7
39	44	8
39	44	9
39	44	10
39	44	11
39	44	12
39	44	13
39	44	14
39	45	7
39	45	8
39	45	9
39	45	10
39	45	11
39	45	12
39	45	13
39	46	7
39	46	8
39	46	9
39	46	10
39	46	11
39	46	12
39	46	13
39	47	8
39	47	9
39	47	10
39	47	11
39	47	12
39	47	13
39	48	8
39	48	9
39	48	10
39	48	11
39	49	8
39	49	9
40	37	7
40	37	8
40	37	9
40	37	10
40	37	11
40	37	12
40	38	7
40	38	8
40	38	9
40	38	10
40	38	11
40	38	12
40	38	13
40	39	7
40	39	8
40	39	9
40	39	10
40	39	11
40	39	12
40	39	13
40	40	7
40	40	8
40	40	9
40	40	10
40	40	11
40	40	12
40	40	13
40	40	14
40	41	7
40	41	8
40	41	9
40	41	10
40	41	11
40	41	12
40	41	13
40	41	14
40	42	6
40	42	7
40	42	8
40	42	9
40	42	10
40	42	11
40	42	12
40	42	13
40	42	14
40	42	15
40	43	6
40	43	7
40	43	8
40	43	9
40	43	10
40	43	11
40	43	12
40	43	13
40	43	14
40	43	15
40	44	6
40	44	7
40	44	8
40	44	9
40	44	10
40	44	11
40	44	12
40	44	13
40	44	14
40	44	15
40	45	6
40	45	7
40	45	8
40	45	9
40	45	10
40	45	11
40	45	12
40	45	13
40	45	14
40	46	7
40	46	8
40	46	9
40	46	10
40	46	11
40	46	12
40	46	13
40	47	7
40	47	8
40	47	9
40	47	10
40	47	11
40	47	12
40	47	13
40	48	8
40	48	9
40	48	10
40	48	11
40	48	12
40	49	8
40	49	9
40	49	10
41	36	9
41	36	10
41	36	11
41	37	7
41	37	8
41	37	9
41	37	10
41	37	11
41	37	12
41	37	13
41	38	7
41	38	8
41	38	9
41	38	10
41	38	11
41	38	12
41	38	13
41	39	7
41	39	8
41	39	9
41	39	10
41	39	11
41	39	12
41	39	13
41	39	14
41	40	7
41	40	8
41	40	9
41	40	10
41	40	11
41	40	12
41	40	13
41	40	14
41	41	7
41	41	8
41	41	9
41	41	10
41	41	11
41	41	12
41	41	13
41	41	14
41	41	15
41	42	6
41	42	7
41	42	8
41	42	9
41	42	10
41	42	11
41	42	12
41	42	13
41	42	14
41	42	15
41	43	6
41	43	7
41	43	8
41	43	9
41	43	10
41	43	11
41	43	12
41	43	13
41	43	14
41	43	15
41	44	6
41	44	7
41	44	8
41	44	9
41	44	10
41	44	11
41	44	12
41	44	13
41	44	14
41	44	15
41	45	7
41	45	8
41	45	9
41	45	10
41	45	11
41	45	12
41	45	13
41	45	14
41	45	15
41	46	7
41	46	8
41	46	9
41	46	10
41	46	11
41	46	12
41	46	13
41	46	14
41	47	7
41	47	8
41	47	9
41	47	10
41	47	11
41	47	12
41	47	13
41	48	8
41	48	9
41	48	10
41	48	11
41	48	12
41	48	13
41	49	8
41	49	9
41	49	10
42	36	9
42	36	10
42	36	11
42	36	12
42	37	7
42	37	8
42	37	9
42	37	10
42	37	11
42	37	12
42	37	13
42	38	7
42	38	8
42	38	9
42	38	10
42	38	11
42	38	12
42	38	13
42	38	14
42	39	7
42	39	8
42	39	9
42	39	10
42	39	11
42	39	12
42	39	13
42	39	14
42	40	7
42	40	8
42	40	9
42	40	10
42	40	11
42	40	12
42	40	13
42	40	14
42	40	15
42	41	7
42	41	8
42	41	9
42	41	10
42	41	11
42	41	12
42	41	13
42	41	14
42	41	15
42	42	7
42	42	8
42	42	9
42	42	10
42	42	11
42	42	12
42	42	13
42	42	14
42	42	15
42	42	16
42	43	7
42	43	8
42	43	9
42	43	10
42	43	11
42	43	12
42	43	13
42	43	14
42	43	15
42	43	16
42	44	7
42	44	8
42	44	9
42	44	10
42	44	11
42	44	12
42	44	13
42	44	14
42	44	15
42	44	16
42	45	7
42	45	8
42	45	9
42	45	10
42	45	11
42	45	12
42	45	13
42	45	14
42	45	15
42	45	16
42	46	7
42	46	8
42	46	9
42	46	10
42	46	11
42	46	12
42	46	13
42	46	14
42	47	7
42	47	8
42	47	9
42	47	10
42	47	11
42	47	12
42	47	13
42	48	8
42	48	9
42	48	10
42	48	11
42	49	9
43	36	8
43	36	9
43	36	10
43	36	11
43	36	12
43	36	13
43	37	7
43	37	8
43	37	9
43	37	10
43	37	11
43	37	12
43	37	13
43	37	14
43	38	7
43	38	8
43	38	9
43	38	10
43	38	11
43	38	12
43	38	13
43	38	14
43	39	7
43	39	8
43	39	9
43	39	10
43	39	11
43	39	12
43	39	13
43	39	14
43	39	15
43	40	7
43	40	8
43	40	9
43	40	10
43	40	11
43	40	12
43	40	13
43	40	14
43	40	15
43	40	16
43	41	7
43	41	8
43	41	9
43	41	10
43	41	11
43	41	12
43	41	13
43	41	14
43	41	15
43	41	16
43	42	7
43	42	8
43	42	9
43	42	10
43	42	11
43	42	12
43	42	13
43	42	14
43	42	15
43	42	16
43	43	7
43	43	8
43	43	9
43	43	10
43	43	11
43	43	12
43	43	13
43	43	14
43	43	15
43	43	16
43	44	7
43	44	8
43	44	9
43	44	10
43	44	11
43	44	12
43	44	13
43	44	14
43	44	15
43	44	16
43	45	8
43	45	9
43	45	10
43	45	11
43	45	12
43	45	13
43	45	14
43	45	15
43	45	16
43	46	8
43	46	9
43	46	10
43	46	11
43	46	12
43	46	13
43	47	8
43	47	9
43	47	10
43	47	11
43	47	12
43	48	8
43	48	9
43	48	10
44	35	11
44	35	12
44	36	8
44	36	9
44	36	10
44	36	11
44	36	12
44	36	13
44	36	14
44	37	7
44	37	8
44	37	9
44	37	10
44	37	11
44	37	12
44	37	13
44	37	14
44	38	7
44	38	8
44	38	9
44	38	10
44	38	11
44	38	12
44	38	13
44	38	14
44	38	15
44	39	7
44	39	8
44	39	9
44	39	10
44	39	11
44	39	12
44	39	13
44	39	14
44	39	15
44	39	16
