#i	j	k
0	1	2
0	2	1
0	2	2
0	2	3
0	3	1
0	3	2
0	3	3
0	4	1
0	4	2
0	4	3
0	5	1
0	5	2
0	5	3
0	6	1
0	6	2
0	7	1
1	2	2
1	2	3
1	3	2
1	3	3
1	3	4
1	4	2
1	4	3
1	4	4
1	5	1
1	5	2
1	5	3
1	6	1
1	6	2
1	6	3
1	7	1
2	2	2
2	2	3
2	3	1
2	3	2
2	3	3
2	3	4
2	4	1
2	4	2
2	4	3
2	4	4
2	5	1
2	5	2
2	5	3
2	6	1
2	6	2
2	6	3
2	7	1
3	2	2
3	2	3
3	3	2
3	3	3
3	4	2
3	4	3
3	4	4
3	5	2
3	5	3
58	1	1
58	2	1
58	3	1
59	0	1
59	1	0
59	1	1
59	2	0
59	2	1
59	3	0
59	3	1
60	0	1
60	0	2
60	1	0
60	1	1
60	1	2
60	2	0
60	2	1
60	2	2
60	3	0
60	3	1
60	4	0
60	63	1
61	0	0
61	0	1
61	0	2
61	1	0
61	1	1
61	1	2
61	1	3
61	2	0
61	2	1
61	2	2
61	2	3
61	3	0
61	3	1
61	3	2
61	4	0
61	4	1
61	4	2
61	63	1
62	0	1
62	0	2
62	1	0
62	1	1
62	1	2
62	1	3
62	2	0
62	2	1
62	2	2
62	2	3
62	3	0
62	3	1
62	3	2
62	3	3
62	4	1
62	4	2
62	4	3
62	5	1
62	5	2
63	1	0
63	1	1
63	1	2
63	2	0
63	2	1
63	2	2
63	2	3
63	3	1
63	3	2
63	3	3
63	4	1
63	4	2
63	4	3
63	5	1
63	5	2
63	5	3
63	6	1
63	6	2
63	7	1
