lambda_1_H1, lambda_2_H1, lambda_3_H1,lambda_1_H2, lambda_2_H2, lambda_3_H2,eigen_1_X_H1, eigen_1_Y_H1, eigen_1_Z_H1,eigen_2_X_H1, eigen_2_Y_H1, eigen_2_Z_H1,eigen_3_X_H1, eigen_3_Y_H1, eigen_3_Z_H1,eigen_1_X_H2, eigen_1_Y_H2, eigen_1_Z_H2,eigen_2_X_H2, eigen_2_Y_H2, eigen_2_Z_H2,eigen_3_X_H2, eigen_3_Y_H2, eigen_3_Z_H2
1.759730,1.372350,0.173426,2.114230,1.733760,0.961192,0.353080,0.494808,0.803381,0.784391,0.401724,-0.549502,0.509965,-0.770573,0.229403,0.250978,0.293371,0.942299,0.798336,0.385132,-0.270886,0.547421,-0.874990,0.196706
4.121650,2.835080,-0.973312,5.234270,3.731940,-1.432230,0.993731,-0.169986,-0.028907,0.024405,0.815849,-0.564765,0.109105,0.552716,0.824745,0.989533,-0.147747,-0.073115,0.019986,0.840025,-0.535669,0.142918,0.522043,0.841257
2.855240,1.253880,0.334284,3.376620,1.585470,1.256570,0.867002,-0.439107,0.390324,0.162795,-0.388208,-0.894704,0.470961,0.810234,-0.217144,0.793431,-0.476267,0.436207,0.414316,-0.093369,-0.888454,0.445880,0.874330,0.142734
4.534800,0.992543,0.164662,4.129590,0.904263,0.021310,0.178879,0.485778,0.848143,0.515053,0.341134,-0.406595,0.838286,-0.804765,0.339609,0.185146,0.555835,0.793894,0.237735,0.735213,-0.607882,0.953521,-0.387956,-0.014559
3.010480,2.047920,1.230020,2.709320,1.725900,0.583954,0.571050,-0.754749,-0.291003,0.264321,0.522784,-0.808216,0.777198,0.396297,0.511960,0.640928,-0.753793,-0.310010,0.004671,0.490967,-0.851736,0.767587,0.436747,0.422420
6.293700,4.663050,0.961887,6.147830,4.322480,1.339790,0.514381,0.749602,0.367584,0.134827,0.338923,-0.927482,0.846896,-0.568531,-0.068252,0.544308,0.762068,0.362701,0.167374,0.355148,-0.926799,0.822019,-0.541407,-0.097428
4.344250,2.577010,-0.749935,3.680030,1.385540,-0.295235,0.224409,-0.036177,0.980121,0.363686,-0.906155,-0.114483,0.904087,0.421396,-0.162037,0.242420,0.248688,0.952571,0.810298,-0.721680,0.061456,0.533525,0.646013,-0.298045
2.591910,2.063100,-0.083688,3.011190,2.244390,0.601370,0.786247,-0.134914,-0.667744,0.575052,0.481715,0.601429,0.226122,-0.865880,0.438635,0.592903,-0.198434,-0.820115,0.757604,0.431809,0.418419,0.272950,-0.879866,0.390304
3.099830,1.411480,0.579323,2.823960,1.464890,0.322265,0.539011,-0.080285,-0.803926,0.101317,-0.767835,0.426858,0.836183,0.635598,0.414119,0.452184,-0.146922,-0.829386,0.291280,-0.966211,0.237006,0.843022,0.211780,0.505912
4.644860,2.843560,0.202229,3.657790,2.541770,-0.184498,0.145457,-0.939356,0.308412,0.308856,0.340684,0.889320,0.939920,0.039298,-0.337626,0.135809,-0.925787,0.354203,0.261983,0.377146,0.889439,0.955469,0.026076,-0.288856
1.977430,1.567940,0.265958,2.187420,1.247790,0.324530,0.028179,-0.924154,-0.371960,0.180068,-0.342993,0.908276,0.983250,0.168214,-0.191520,0.319030,-0.934008,-0.238156,0.292151,-0.159225,0.944766,0.901592,0.319807,-0.225166
4.597450,3.225860,1.441660,4.536410,2.726690,1.026960,0.343038,-0.388357,0.866006,0.196871,-0.896533,-0.434114,0.918459,0.213088,-0.248151,0.249338,-0.390682,0.886889,0.072237,-0.895846,-0.427922,0.965719,0.211725,-0.174099
